width,space,ctt,cself,ctsv
1e-06,6.5000000000000004e-06,-7.227418676087808e-17,4.076441420908228e-15,4.0041672341473505e-15
1e-06,7e-06,-6.544704390373525e-17,4.0687922558408184e-15,4.003345211937083e-15
1e-06,7.5e-06,-5.95301867608781e-17,4.062193951402713e-15,4.002663764641835e-15
1e-06,8e-06,-5.435293676087809e-17,4.056447250113522e-15,4.002094313352644e-15
1e-06,8.5e-06,-4.978477499617222e-17,4.051399674804177e-15,4.0016148998080045e-15
1e-06,9e-06,-4.57241867608781e-17,4.0469326481033464e-15,4.001208461342468e-15
1e-06,9.5e-06,-4.2091028866141264e-17,4.042952635444594e-15,4.000861606578453e-15
1e-06,9.999999999999999e-06,-3.882118676087811e-17,4.0393849183873345e-15,4.000563731626457e-15
1.5e-06,5e-07,-1.840504186760878e-15,5.041952638681412e-15,3.2014484519205342e-15
1.5e-06,1e-06,-9.085991867608781e-16,4.380478067336506e-15,3.471878880575628e-15
1.5e-06,1.5e-06,-5.9796418676087805e-16,4.152367180428373e-15,3.554402993667495e-15
1.5e-06,2e-06,-4.4264668676087807e-16,4.0356798213034445e-15,3.5930331345425665e-15
1.5e-06,2.4999999999999998e-06,-3.494561867608781e-16,3.964550483108042e-15,3.615094296347164e-15
1.5e-06,2.9999999999999997e-06,-2.8732918676087813e-16,3.916625102709367e-15,3.629295915948489e-15
1.5e-06,3.5e-06,-2.429527581894495e-16,3.8821622334018565e-15,3.639209475212407e-15
1.5e-06,4e-06,-2.096704367608781e-16,3.856216465650907e-15,3.646546028890029e-15
1.5e-06,4.5e-06,-1.837841867608781e-16,3.836003064104345e-15,3.652218877343467e-15
1.5e-06,5e-06,-1.630751867608781e-16,3.81983158693215e-15,3.656756400171272e-15
1.5e-06,5.5e-06,-1.4613145948815083e-16,3.8066155768068736e-15,3.6604841173187224e-15
1.5e-06,6e-06,-1.320116867608781e-16,3.795624676394853e-15,3.663612989633975e-15
1.5e-06,6.5000000000000004e-06,-1.200641867608781e-16,3.786349751917328e-15,3.66628556515645e-15
1.5e-06,7e-06,-1.0982347247516382e-16,3.7784250735104605e-15,3.6686016010352965e-15
1.5e-06,7.5e-06,-1.009481867608781e-16,3.771581210567892e-15,3.670633023807013e-15
1.5e-06,8e-06,-9.31823117608781e-17,3.765615356230155e-15,3.672433044469277e-15
1.5e-06,8.5e-06,-8.633006911381927e-17,3.760371988030459e-15,3.67404191891664e-15
1.5e-06,9e-06,-8.02391867608781e-17,3.75572989252525e-15,3.675490705764372e-15
1.5e-06,9.5e-06,-7.478944991877285e-17,3.7515932368763626e-15,3.67680378695759e-15
1.5e-06,9.999999999999999e-06,-6.988468676087811e-17,3.747885287384241e-15,3.678000600623363e-15
2e-06,5e-07,-2.4617741867608774e-15,4.855068415946203e-15,2.3932942291853255e-15
2e-06,1e-06,-1.2192341867608779e-15,4.193338442708566e-15,2.9741042559476878e-15
2e-06,1.5e-06,-8.050541867608779e-16,3.964883486068635e-15,3.1598292993077572e-15
2e-06,2e-06,-5.97964186760878e-16,3.847825705342189e-15,3.249861518581311e-15
2e-06,2.4999999999999998e-06,-4.737101867608781e-16,3.776335795231293e-15,3.302625608470415e-15
2e-06,2.9999999999999997e-06,-3.9087418676087807e-16,3.728075001503277e-15,3.3372008147423988e-15
2e-06,3.5e-06,-3.3170561533230664e-16,3.693305878339091e-15,3.3616002630067847e-15
2e-06,4e-06,-2.8732918676087803e-16,3.667082154675597e-15,3.3797529679147188e-15
2e-06,4.5e-06,-2.5281418676087805e-16,3.646616582008237e-15,3.3938023952473588e-15
2e-06,5e-06,-2.2520218676087805e-16,3.630215909712987e-15,3.405013722952109e-15
2e-06,5.5e-06,-2.026105503972417e-16,3.616791067972077e-15,3.414180517574835e-15
2e-06,6e-06,-1.8378418676087807e-16,3.605609416635695e-15,3.421825229874817e-15
2e-06,6.5000000000000004e-06,-1.6785418676087805e-16,3.5961598682197094e-15,3.4283056814588313e-15
2e-06,7e-06,-1.5419990104659238e-16,3.588075025943596e-15,3.4338751248970034e-15
2e-06,7.5e-06,-1.4236618676087809e-16,3.581084030075743e-15,3.4387178433148645e-15
2e-06,8e-06,-1.3201168676087807e-16,3.574982838540719e-15,3.442971151779841e-15
2e-06,8.5e-06,-1.2287536323146633e-16,3.569614851588081e-15,3.4467394883566148e-15
2e-06,9e-06,-1.1475418676087808e-16,3.564857907963505e-15,3.4501037212026266e-15
2e-06,9.5e-06,-1.0748787097140441e-16,3.5606153342632275e-15,3.453127463291823e-15
2e-06,9.999999999999999e-06,-1.009481867608781e-16,3.5568096461216675e-15,3.4558614593607894e-15
2.4999999999999998e-06,5e-07,-3.0830441867608773e-15,4.717475925141281e-15,1.634431738380404e-15
2.4999999999999998e-06,1e-06,-1.5298691867608779e-15,4.0556325095814915e-15,2.5257633228206136e-15
2.4999999999999998e-06,1.5e-06,-1.012144186760878e-15,3.827019295677476e-15,2.814875108916598e-15
2.4999999999999998e-06,2e-06,-7.532816867608779e-16,3.709784380974256e-15,2.956502694213378e-15
2.4999999999999998e-06,2.4999999999999998e-06,-5.97964186760878e-16,3.6381155901886624e-15,3.0401514034277845e-15
2.4999999999999998e-06,2.9999999999999997e-06,-4.944191867608781e-16,3.589682914606523e-15,3.095263727845645e-15
2.4999999999999998e-06,3.5e-06,-4.204584724751637e-16,3.554752381809153e-15,3.134293909333989e-15
2.4999999999999998e-06,4e-06,-3.64987936760878e-16,3.528378514751831e-15,3.163390577990953e-15
2.4999999999999998e-06,4.5e-06,-3.21844186760878e-16,3.5077736909014455e-15,3.1859295041405674e-15
2.4999999999999998e-06,5e-06,-2.8732918676087803e-16,3.4912438638206612e-15,3.2039146770597832e-15
2.4999999999999998e-06,5.5e-06,-2.590896413063326e-16,3.477699077352133e-15,3.2186094360458006e-15
2.4999999999999998e-06,6e-06,-2.3555668676087804e-16,3.466405846452533e-15,3.230849159691655e-15
2.4999999999999998e-06,6.5000000000000004e-06,-2.1564418676087803e-16,3.4568523233551948e-15,3.2412081365943167e-15
2.4999999999999998e-06,7e-06,-1.9857632961802091e-16,3.4486704418754663e-15,3.2500941122574454e-15
2.4999999999999998e-06,7.5e-06,-1.8378418676087807e-16,3.441588756284149e-15,3.257804569523271e-15
2.4999999999999998e-06,8e-06,-1.7084106176087807e-16,3.4354027105614276e-15,3.2645616488005497e-15
2.4999999999999998e-06,8.5e-06,-1.5942065734911338e-16,3.429955251749267e-15,3.2705345944001536e-15
