5.00E-06	5.00E-06	6.97E-14
6.00E-06	5.00E-06	8.15E-14
7.00E-06	5.00E-06	9.49E-14
8.00E-06	5.00E-06	1.08E-13
9.00E-06	5.00E-06	1.23E-13
1.00E-05	5.00E-06	1.39E-13
1.10E-05	5.00E-06	1.54E-13
1.20E-05	5.00E-06	1.70E-13
1.30E-05	5.00E-06	1.88E-13
1.40E-05	5.00E-06	2.07E-13
1.50E-05	5.00E-06	2.24E-13
1.60E-05	5.00E-06	2.43E-13
1.70E-05	5.00E-06	2.64E-13
1.80E-05	5.00E-06	2.83E-13
1.90E-05	5.00E-06	3.06E-13
2.00E-05	5.00E-06	3.27E-13
5.00E-06	6.00E-06	6.30E-14
6.00E-06	6.00E-06	7.35E-14
7.00E-06	6.00E-06	8.56E-14
8.00E-06	6.00E-06	9.73E-14
9.00E-06	6.00E-06	1.11E-13
1.00E-05	6.00E-06	1.25E-13
1.10E-05	6.00E-06	1.39E-13
1.20E-05	6.00E-06	1.54E-13
1.30E-05	6.00E-06	1.70E-13
1.40E-05	6.00E-06	1.88E-13
1.50E-05	6.00E-06	2.04E-13
1.60E-05	6.00E-06	2.21E-13
1.70E-05	6.00E-06	2.41E-13
1.80E-05	6.00E-06	2.59E-13
1.90E-05	6.00E-06	2.81E-13
2.00E-05	6.00E-06	3.00E-13
5.00E-06	7.00E-06	5.84E-14
6.00E-06	7.00E-06	6.79E-14
7.00E-06	7.00E-06	7.90E-14
8.00E-06	7.00E-06	8.98E-14
9.00E-06	7.00E-06	1.02E-13
1.00E-05	7.00E-06	1.16E-13
1.10E-05	7.00E-06	1.29E-13
1.20E-05	7.00E-06	1.42E-13
1.30E-05	7.00E-06	1.58E-13
1.40E-05	7.00E-06	1.75E-13
1.50E-05	7.00E-06	1.90E-13
1.60E-05	7.00E-06	2.06E-13
1.70E-05	7.00E-06	2.25E-13
1.80E-05	7.00E-06	2.42E-13
1.90E-05	7.00E-06	2.63E-13
2.00E-05	7.00E-06	2.81E-13
5.00E-06	8.00E-06	5.49E-14
6.00E-06	8.00E-06	6.37E-14
7.00E-06	8.00E-06	7.42E-14
8.00E-06	8.00E-06	8.42E-14
9.00E-06	8.00E-06	9.62E-14
1.00E-05	8.00E-06	1.09E-13
1.10E-05	8.00E-06	1.21E-13
1.20E-05	8.00E-06	1.34E-13
1.30E-05	8.00E-06	1.49E-13
1.40E-05	8.00E-06	1.65E-13
1.50E-05	8.00E-06	1.80E-13
1.60E-05	8.00E-06	1.95E-13
1.70E-05	8.00E-06	2.13E-13
1.80E-05	8.00E-06	2.30E-13
1.90E-05	8.00E-06	2.49E-13
2.00E-05	8.00E-06	2.67E-13
5.00E-06	9.00E-06	5.23E-14
6.00E-06	9.00E-06	6.06E-14
7.00E-06	9.00E-06	7.04E-14
8.00E-06	9.00E-06	8.00E-14
9.00E-06	9.00E-06	9.14E-14
1.00E-05	9.00E-06	1.04E-13
1.10E-05	9.00E-06	1.15E-13
1.20E-05	9.00E-06	1.27E-13
1.30E-05	9.00E-06	1.42E-13
1.40E-05	9.00E-06	1.57E-13
1.50E-05	9.00E-06	1.72E-13
1.60E-05	9.00E-06	1.86E-13
1.70E-05	9.00E-06	2.04E-13
1.80E-05	9.00E-06	2.20E-13
1.90E-05	9.00E-06	2.39E-13
2.00E-05	9.00E-06	2.57E-13
5.00E-06	1.00E-05	5.02E-14
6.00E-06	1.00E-05	5.80E-14
7.00E-06	1.00E-05	6.75E-14
8.00E-06	1.00E-05	7.66E-14
9.00E-06	1.00E-05	8.76E-14
1.00E-05	1.00E-05	9.95E-14
1.10E-05	1.00E-05	1.11E-13
1.20E-05	1.00E-05	1.22E-13
1.30E-05	1.00E-05	1.36E-13
1.40E-05	1.00E-05	1.51E-13
1.50E-05	1.00E-05	1.65E-13
1.60E-05	1.00E-05	1.79E-13
1.70E-05	1.00E-05	1.97E-13
1.80E-05	1.00E-05	2.12E-13
1.90E-05	1.00E-05	2.31E-13
2.00E-05	1.00E-05	2.48E-13
5.00E-06	1.10E-05	4.86E-14
6.00E-06	1.10E-05	5.60E-14
7.00E-06	1.10E-05	6.51E-14
8.00E-06	1.10E-05	7.39E-14
9.00E-06	1.10E-05	8.45E-14
1.00E-05	1.10E-05	9.61E-14
1.10E-05	1.10E-05	1.07E-13
1.20E-05	1.10E-05	1.18E-13
1.30E-05	1.10E-05	1.32E-13
1.40E-05	1.10E-05	1.47E-13
1.50E-05	1.10E-05	1.60E-13
1.60E-05	1.10E-05	1.74E-13
1.70E-05	1.10E-05	1.91E-13
1.80E-05	1.10E-05	2.06E-13
1.90E-05	1.10E-05	2.25E-13
2.00E-05	1.10E-05	2.41E-13
5.00E-06	1.20E-05	4.72E-14
6.00E-06	1.20E-05	5.44E-14
7.00E-06	1.20E-05	6.32E-14
8.00E-06	1.20E-05	7.16E-14
9.00E-06	1.20E-05	8.20E-14
1.00E-05	1.20E-05	9.33E-14
1.10E-05	1.20E-05	1.04E-13
1.20E-05	1.20E-05	1.15E-13
1.30E-05	1.20E-05	1.28E-13
1.40E-05	1.20E-05	1.43E-13
1.50E-05	1.20E-05	1.56E-13
1.60E-05	1.20E-05	1.69E-13
1.70E-05	1.20E-05	1.86E-13
1.80E-05	1.20E-05	2.01E-13
1.90E-05	1.20E-05	2.19E-13
2.00E-05	1.20E-05	2.35E-13
5.00E-06	1.30E-05	4.61E-14
6.00E-06	1.30E-05	5.30E-14
7.00E-06	1.30E-05	6.16E-14
8.00E-06	1.30E-05	6.98E-14
9.00E-06	1.30E-05	7.99E-14
